ResourceID;OpNo;WorkingTime;OffsetTime;ElectricEnergy;CompressedAir
0;1;0;0;0;0
0;10;0;0;0;0
0;11;0;0;0;0
0;12;0;0;0;0
0;13;0;0;0;0
0;20;0;0;0;0
0;21;0;0;0;0
0;40;0;0;0;0
0;110;0;0;0;0
0;111;0;0;0;0
0;112;0;0;0;0
0;113;0;0;0;0
0;114;0;0;0;0
0;115;0;0;0;0
0;116;0;0;0;0
0;117;0;0;0;0
0;118;0;0;0;0
0;120;0;0;0;0
0;121;0;0;0;0
0;122;0;0;0;0
0;123;0;0;0;0
0;126;0;0;0;0
0;130;0;0;0;0
0;131;0;0;0;0
0;132;0;0;0;0
0;133;0;0;0;0
0;134;0;0;0;0
0;140;0;0;0;0
0;141;0;0;0;0
0;142;0;0;0;0
0;143;0;0;0;0
0;150;0;0;0;0
0;161;0;0;0;0
0;162;0;0;0;0
0;171;0;0;0;0
0;172;0;0;0;0
0;173;0;0;0;0
0;174;0;0;0;0
0;180;0;0;0;0
0;192;0;0;0;0
0;193;0;0;0;0
0;194;0;0;0;0
0;195;0;0;0;0
0;200;0;0;0;0
0;201;0;0;0;0
0;202;0;0;0;0
0;203;0;0;0;0
0;205;0;0;0;0
0;210;0;0;0;0
0;211;0;0;0;0
0;212;0;0;0;0
0;213;0;0;0;0
0;215;0;0;0;0
0;216;0;0;0;0
0;217;0;0;0;0
0;218;0;0;0;0
0;220;0;0;0;0
0;300;0;0;0;0
0;301;0;0;0;0
0;302;0;0;0;0
0;303;0;0;0;0
0;304;0;0;0;0
0;305;0;0;0;0
0;310;0;0;0;0
0;311;0;0;0;0
0;316;0;0;0;0
0;320;0;0;0;0
0;321;0;0;0;0
0;322;0;0;0;0
0;323;0;0;0;0
0;324;0;0;0;0
0;325;0;0;0;0
0;326;0;0;0;0
0;327;0;0;0;0
0;328;0;0;0;0
0;329;0;0;0;0
0;400;0;0;0;0
0;401;0;0;0;0
0;402;0;0;0;0
0;403;0;0;0;0
0;404;0;0;0;0
0;405;0;0;0;0
0;406;0;0;0;0
0;407;0;0;0;0
0;410;0;0;0;0
0;420;0;0;0;0
0;430;0;0;0;0
0;452;0;0;0;0
0;500;0;0;0;0
0;501;0;0;0;0
0;502;0;0;0;0
0;503;0;0;0;0
0;504;0;0;0;0
0;505;0;0;0;0
0;506;0;0;0;0
0;510;0;0;0;0
0;511;0;0;0;0
0;512;0;0;0;0
0;600;0;0;0;0
0;601;0;0;0;0
0;610;0;0;0;0
0;654;0;0;0;0
0;1001;0;0;0;0
0;1002;0;0;0;0
0;1003;0;0;0;0
0;1004;0;0;0;0
0;1005;0;0;0;0
0;1010;0;0;0;0
0;1020;0;0;0;0
0;1030;0;0;0;0
0;1040;0;0;0;0
0;1100;0;0;0;0
0;1101;0;0;0;0
0;1102;0;0;0;0
0;1103;0;0;0;0
0;1104;0;0;0;0
0;1105;0;0;0;0
0;1106;0;0;0;0
0;1107;0;0;0;0
0;1108;0;0;0;0
0;1109;0;0;0;0
0;1110;0;0;0;0
0;1111;0;0;0;0
0;1112;0;0;0;0
0;1113;0;0;0;0
0;1120;0;0;0;0
1;210;20;0;0;0
1;211;20;0;0;0
1;212;20;0;0;0
1;213;20;0;0;0
2;116;15;0;0;0
3;400;2;0;0;0
4;201;3;0;1257000;180
5;111;6;0;1837000;151
6;510;6;0;0;0
7;215;0;0;0;0
7;310;10;0;0;0
7;311;10;0;0;0
8;215;10;0;0;0
9;502;4;0;0;0
9;503;4;0;0;0
9;510;4;0;0;0
